,date,hour,city,time
0,2020-05-01,0,구로구,22.01
1,2020-05-01,0,금천구,16.45
2,2020-05-01,0,동작구,26.35
3,2020-05-01,0,영등포구,20.37
4,2020-05-01,0,은평구,21.76
5,2020-05-01,1,구로구,22.23
6,2020-05-01,1,금천구,18.88
7,2020-05-01,1,영등포구,21.89
8,2020-05-01,1,은평구,16.41
9,2020-05-01,2,금천구,23.15
10,2020-05-01,2,영등포구,18.27
11,2020-05-01,3,영등포구,16.27
12,2020-05-01,4,영등포구,17.05
13,2020-05-01,5,영등포구,16.33
14,2020-05-01,6,영등포구,15.62
15,2020-05-01,7,영등포구,23.22
16,2020-05-01,8,영등포구,19.22
17,2020-05-01,9,영등포구,26.45
18,2020-05-01,10,동작구,28.64
19,2020-05-01,10,영등포구,18.82
20,2020-05-01,10,은평구,19.62
21,2020-05-01,11,구로구,27.85
22,2020-05-01,11,금천구,17.76
23,2020-05-01,11,동작구,34.23
24,2020-05-01,11,영등포구,23.95
25,2020-05-01,11,은평구,20.19
26,2020-05-01,12,구로구,23.46
27,2020-05-01,12,금천구,25.43
28,2020-05-01,12,도봉구,21.61
29,2020-05-01,12,동작구,23.26
30,2020-05-01,12,영등포구,28.3
31,2020-05-01,12,은평구,21.98
32,2020-05-01,13,구로구,20.16
33,2020-05-01,13,금천구,22.55
34,2020-05-01,13,도봉구,26.36
35,2020-05-01,13,동작구,32.64
36,2020-05-01,13,양천구,18.17
37,2020-05-01,13,영등포구,22.93
38,2020-05-01,13,은평구,19.38
39,2020-05-01,14,구로구,25.57
40,2020-05-01,14,금천구,21.11
41,2020-05-01,14,도봉구,19.56
42,2020-05-01,14,동작구,28.05
43,2020-05-01,14,영등포구,21.64
44,2020-05-01,14,은평구,22.62
45,2020-05-01,15,구로구,21.15
46,2020-05-01,15,금천구,25.08
47,2020-05-01,15,도봉구,27.69
48,2020-05-01,15,동작구,23.25
49,2020-05-01,15,영등포구,22.48
50,2020-05-01,15,은평구,22.64
51,2020-05-01,16,구로구,25.64
52,2020-05-01,16,금천구,25.11
53,2020-05-01,16,도봉구,20.22
54,2020-05-01,16,동작구,23.55
55,2020-05-01,16,영등포구,25.88
56,2020-05-01,16,은평구,25.28
57,2020-05-01,17,구로구,25.43
58,2020-05-01,17,금천구,22.64
59,2020-05-01,17,도봉구,18.57
60,2020-05-01,17,동작구,24.2
61,2020-05-01,17,양천구,32.77
62,2020-05-01,17,영등포구,24.39
63,2020-05-01,17,은평구,29.83
64,2020-05-01,18,구로구,27.97
65,2020-05-01,18,금천구,18.23
66,2020-05-01,18,도봉구,23.36
67,2020-05-01,18,동작구,20.44
68,2020-05-01,18,양천구,28.23
69,2020-05-01,18,영등포구,25.9
70,2020-05-01,18,은평구,25.59
71,2020-05-01,19,구로구,29.82
72,2020-05-01,19,금천구,22.78
73,2020-05-01,19,도봉구,20.13
74,2020-05-01,19,동작구,27.19
75,2020-05-01,19,양천구,24.95
76,2020-05-01,19,영등포구,26.59
77,2020-05-01,19,은평구,23.4
78,2020-05-01,20,구로구,24.59
79,2020-05-01,20,금천구,20.89
80,2020-05-01,20,도봉구,20.12
81,2020-05-01,20,동작구,27.8
82,2020-05-01,20,영등포구,21.85
83,2020-05-01,20,은평구,22.98
84,2020-05-01,21,구로구,27.45
85,2020-05-01,21,금천구,20.32
86,2020-05-01,21,도봉구,19.81
87,2020-05-01,21,동작구,26.84
88,2020-05-01,21,양천구,26.97
89,2020-05-01,21,영등포구,26.54
90,2020-05-01,21,은평구,24.06
91,2020-05-01,22,구로구,25.23
92,2020-05-01,22,금천구,17.96
93,2020-05-01,22,도봉구,19.89
94,2020-05-01,22,동작구,30.18
95,2020-05-01,22,영등포구,25.4
96,2020-05-01,22,은평구,22.25
97,2020-05-01,23,구로구,25.12
98,2020-05-01,23,금천구,21.12
99,2020-05-01,23,도봉구,11.7
100,2020-05-01,23,동작구,35.66
101,2020-05-01,23,영등포구,25.5
102,2020-05-01,23,은평구,20.33
103,2020-05-02,0,구로구,22.8
104,2020-05-02,0,금천구,19.21
105,2020-05-02,0,동작구,32.36
106,2020-05-02,0,영등포구,22.3
107,2020-05-02,0,은평구,17.94
108,2020-05-02,1,금천구,23.3
109,2020-05-02,1,영등포구,22.14
110,2020-05-02,1,은평구,18.64
111,2020-05-02,2,영등포구,15.82
112,2020-05-02,3,영등포구,18.86
113,2020-05-02,4,영등포구,18.24
114,2020-05-02,5,영등포구,23.38
115,2020-05-02,6,영등포구,17.1
116,2020-05-02,8,영등포구,24.14
117,2020-05-02,9,동작구,41.27
118,2020-05-02,10,구로구,19.65
119,2020-05-02,10,동작구,23.83
120,2020-05-02,10,영등포구,22.73
121,2020-05-02,11,구로구,31.72
122,2020-05-02,11,금천구,16.35
123,2020-05-02,11,도봉구,16.03
124,2020-05-02,11,동작구,38.29
125,2020-05-02,11,영등포구,21.92
126,2020-05-02,12,구로구,25.95
127,2020-05-02,12,금천구,23.44
128,2020-05-02,12,도봉구,21.57
129,2020-05-02,12,동작구,50.39
130,2020-05-02,12,영등포구,23.17
131,2020-05-02,12,은평구,32.4
132,2020-05-02,13,구로구,26.29
133,2020-05-02,13,금천구,21.73
134,2020-05-02,13,도봉구,18.4
135,2020-05-02,13,동작구,20.7
136,2020-05-02,13,영등포구,20.43
137,2020-05-02,13,은평구,23.68
138,2020-05-02,14,구로구,25.58
139,2020-05-02,14,금천구,24.41
140,2020-05-02,14,도봉구,20.12
141,2020-05-02,14,동작구,15.73
142,2020-05-02,14,영등포구,24.25
143,2020-05-02,14,은평구,24.25
144,2020-05-02,15,구로구,22.49
145,2020-05-02,15,금천구,20.7
146,2020-05-02,15,도봉구,19.69
147,2020-05-02,15,동작구,31.28
148,2020-05-02,15,양천구,20.8
149,2020-05-02,15,영등포구,24.09
150,2020-05-02,15,은평구,33.02
151,2020-05-02,16,구로구,26.29
152,2020-05-02,16,금천구,19.74
153,2020-05-02,16,도봉구,22.58
154,2020-05-02,16,동작구,28.2
155,2020-05-02,16,양천구,30.12
156,2020-05-02,16,영등포구,21.86
157,2020-05-02,16,은평구,24.41
158,2020-05-02,17,구로구,28.49
159,2020-05-02,17,금천구,22.85
160,2020-05-02,17,도봉구,23.67
161,2020-05-02,17,동작구,27.93
162,2020-05-02,17,양천구,19.77
163,2020-05-02,17,영등포구,24.96
164,2020-05-02,17,은평구,23.43
165,2020-05-02,18,구로구,29.64
166,2020-05-02,18,금천구,23.47
167,2020-05-02,18,도봉구,27.36
168,2020-05-02,18,동작구,29.37
169,2020-05-02,18,양천구,19.55
170,2020-05-02,18,영등포구,27.83
171,2020-05-02,18,은평구,25.08
172,2020-05-02,19,구로구,31.26
173,2020-05-02,19,금천구,22.99
174,2020-05-02,19,도봉구,21.25
175,2020-05-02,19,동작구,23.03
176,2020-05-02,19,양천구,23.3
177,2020-05-02,19,영등포구,27.16
178,2020-05-02,19,은평구,24.29
179,2020-05-02,20,구로구,26.14
180,2020-05-02,20,금천구,21.22
181,2020-05-02,20,도봉구,20.22
182,2020-05-02,20,동작구,27.79
183,2020-05-02,20,양천구,30.77
184,2020-05-02,20,영등포구,29.94
185,2020-05-02,20,은평구,19.98
186,2020-05-02,21,구로구,24.16
187,2020-05-02,21,금천구,20.75
188,2020-05-02,21,도봉구,20.28
189,2020-05-02,21,동작구,28.57
190,2020-05-02,21,양천구,24.34
