,date,hour,menu,city,time
0,2020-05-29,0,치킨,구로구,22.74
1,2020-05-29,0,치킨,금천구,17.49
2,2020-05-29,0,치킨,동작구,35.09
3,2020-05-29,0,치킨,영등포구,26.32
4,2020-05-29,0,치킨,은평구,25.65
5,2020-05-29,1,치킨,구로구,21.88
6,2020-05-29,1,치킨,금천구,29.88
7,2020-05-29,1,치킨,영등포구,13.41
8,2020-05-29,1,치킨,은평구,24.74
9,2020-05-29,2,치킨,영등포구,12.85
10,2020-05-29,3,치킨,동작구,24.6
11,2020-05-29,9,치킨,동작구,28.82
12,2020-05-29,10,치킨,동작구,17.38
13,2020-05-29,10,치킨,영등포구,27.09
14,2020-05-29,10,치킨,은평구,19.99
15,2020-05-29,11,치킨,구로구,22.09
16,2020-05-29,11,치킨,금천구,18.5
17,2020-05-29,11,치킨,동작구,36.32
18,2020-05-29,11,치킨,영등포구,20.91
19,2020-05-29,11,치킨,은평구,22.13
20,2020-05-29,12,치킨,구로구,29.89
21,2020-05-29,12,치킨,금천구,19.57
22,2020-05-29,12,치킨,도봉구,17.64
23,2020-05-29,12,치킨,동작구,28.41
24,2020-05-29,12,치킨,영등포구,22.58
25,2020-05-29,12,치킨,은평구,17.66
26,2020-05-29,13,치킨,구로구,22.33
27,2020-05-29,13,치킨,금천구,21.46
28,2020-05-29,13,치킨,도봉구,22.66
29,2020-05-29,13,치킨,동작구,30.07
30,2020-05-29,13,치킨,영등포구,20.27
31,2020-05-29,13,치킨,은평구,13.84
32,2020-05-29,14,치킨,구로구,21.7
33,2020-05-29,14,치킨,금천구,19.36
34,2020-05-29,14,치킨,도봉구,14.0
35,2020-05-29,14,치킨,동작구,22.48
36,2020-05-29,14,치킨,양천구,30.13
37,2020-05-29,14,치킨,영등포구,22.72
38,2020-05-29,14,치킨,은평구,20.45
39,2020-05-29,15,치킨,구로구,29.02
40,2020-05-29,15,치킨,금천구,21.81
41,2020-05-29,15,치킨,도봉구,15.78
42,2020-05-29,15,치킨,동작구,24.52
43,2020-05-29,15,치킨,영등포구,25.84
44,2020-05-29,15,치킨,은평구,19.0
45,2020-05-29,16,치킨,구로구,26.19
46,2020-05-29,16,치킨,금천구,24.05
47,2020-05-29,16,치킨,동작구,5.85
48,2020-05-29,16,치킨,양천구,31.6
49,2020-05-29,16,치킨,영등포구,21.87
50,2020-05-29,16,치킨,은평구,18.2
51,2020-05-29,17,치킨,구로구,27.95
52,2020-05-29,17,치킨,금천구,22.71
53,2020-05-29,17,치킨,동작구,26.13
54,2020-05-29,17,치킨,영등포구,28.8
55,2020-05-29,17,치킨,은평구,25.43
56,2020-05-29,18,치킨,구로구,31.18
57,2020-05-29,18,치킨,금천구,25.61
58,2020-05-29,18,치킨,도봉구,19.62
59,2020-05-29,18,치킨,동작구,25.27
60,2020-05-29,18,치킨,양천구,27.11
61,2020-05-29,18,치킨,영등포구,30.42
62,2020-05-29,18,치킨,은평구,20.63
63,2020-05-29,19,치킨,구로구,33.39
64,2020-05-29,19,치킨,금천구,30.34
65,2020-05-29,19,치킨,도봉구,32.36
66,2020-05-29,19,치킨,동작구,31.03
67,2020-05-29,19,치킨,양천구,22.53
68,2020-05-29,19,치킨,영등포구,30.46
69,2020-05-29,19,치킨,은평구,22.89
70,2020-05-29,20,치킨,구로구,30.14
71,2020-05-29,20,치킨,금천구,25.17
72,2020-05-29,20,치킨,도봉구,30.79
73,2020-05-29,20,치킨,동작구,27.06
74,2020-05-29,20,치킨,양천구,27.95
75,2020-05-29,20,치킨,영등포구,29.54
76,2020-05-29,20,치킨,은평구,23.04
77,2020-05-29,21,치킨,구로구,27.5
78,2020-05-29,21,치킨,금천구,23.59
79,2020-05-29,21,치킨,도봉구,25.25
80,2020-05-29,21,치킨,동작구,22.24
81,2020-05-29,21,치킨,양천구,29.79
82,2020-05-29,21,치킨,영등포구,32.93
83,2020-05-29,21,치킨,은평구,22.96
84,2020-05-29,22,치킨,구로구,27.17
85,2020-05-29,22,치킨,금천구,21.25
86,2020-05-29,22,치킨,도봉구,19.54
87,2020-05-29,22,치킨,동작구,30.47
88,2020-05-29,22,치킨,양천구,37.53
89,2020-05-29,22,치킨,영등포구,26.64
90,2020-05-29,22,치킨,은평구,27.37
91,2020-05-29,23,치킨,구로구,29.48
92,2020-05-29,23,치킨,금천구,20.82
93,2020-05-29,23,치킨,동작구,29.32
94,2020-05-29,23,치킨,영등포구,25.59
95,2020-05-29,23,치킨,은평구,23.21
96,2020-05-30,0,치킨,구로구,23.91
97,2020-05-30,0,치킨,금천구,17.93
98,2020-05-30,0,치킨,동작구,23.93
99,2020-05-30,0,치킨,영등포구,24.79
100,2020-05-30,0,치킨,은평구,21.05
101,2020-05-30,1,치킨,구로구,20.87
102,2020-05-30,1,치킨,금천구,16.99
103,2020-05-30,1,치킨,동작구,23.35
