,date,hour,menu,city,time
0,2020-05-01,0,배달전문업체,영등포구,16.06
1,2020-05-01,0,분식,구로구,26.92
2,2020-05-01,0,분식,금천구,22.81
3,2020-05-01,0,야식,구로구,33.02
4,2020-05-01,0,야식,금천구,22.75
5,2020-05-01,0,야식,영등포구,18.93
6,2020-05-01,0,족발/보쌈,금천구,18.96
7,2020-05-01,0,족발/보쌈,도봉구,18.22
8,2020-05-01,0,족발/보쌈,은평구,38.82
9,2020-05-01,0,중식,금천구,13.33
10,2020-05-01,0,치킨,구로구,22.01
11,2020-05-01,0,치킨,금천구,16.45
12,2020-05-01,0,치킨,동작구,26.35
13,2020-05-01,0,치킨,영등포구,20.37
14,2020-05-01,0,치킨,은평구,21.76
15,2020-05-01,0,패스트푸드,구로구,24.94
16,2020-05-01,0,패스트푸드,동작구,29.21
17,2020-05-01,0,피자,도봉구,25.07
18,2020-05-01,0,한식,영등포구,19.14
19,2020-05-01,1,배달전문업체,영등포구,21.95
20,2020-05-01,1,분식,구로구,32.03
21,2020-05-01,1,분식,금천구,22.87
22,2020-05-01,1,야식,구로구,25.93
23,2020-05-01,1,야식,금천구,27.4
24,2020-05-01,1,야식,영등포구,19.15
25,2020-05-01,1,족발/보쌈,금천구,19.47
26,2020-05-01,1,치킨,구로구,22.23
27,2020-05-01,1,치킨,금천구,18.88
28,2020-05-01,1,치킨,영등포구,21.89
29,2020-05-01,1,치킨,은평구,16.41
30,2020-05-01,1,카페/디저트,구로구,20.52
31,2020-05-01,1,패스트푸드,구로구,17.91
32,2020-05-01,1,패스트푸드,동작구,32.62
33,2020-05-01,1,한식,금천구,26.78
34,2020-05-01,2,배달전문업체,영등포구,19.43
35,2020-05-01,2,치킨,금천구,23.15
36,2020-05-01,2,치킨,영등포구,18.27
37,2020-05-01,2,패스트푸드,동작구,28.46
38,2020-05-01,2,한식,영등포구,18.05
39,2020-05-01,3,배달전문업체,영등포구,14.09
40,2020-05-01,3,치킨,영등포구,16.27
41,2020-05-01,3,패스트푸드,동작구,22.41
42,2020-05-01,3,한식,영등포구,18.19
43,2020-05-01,4,치킨,영등포구,17.05
44,2020-05-01,4,패스트푸드,동작구,18.59
45,2020-05-01,4,한식,영등포구,16.9
46,2020-05-01,5,배달전문업체,영등포구,6.5
47,2020-05-01,5,치킨,영등포구,16.33
48,2020-05-01,5,패스트푸드,동작구,20.86
49,2020-05-01,5,한식,영등포구,13.76
50,2020-05-01,6,배달전문업체,영등포구,20.89
51,2020-05-01,6,치킨,영등포구,15.62
52,2020-05-01,6,패스트푸드,동작구,24.28
53,2020-05-01,6,한식,영등포구,22.34
54,2020-05-01,7,배달전문업체,영등포구,14.69
55,2020-05-01,7,치킨,영등포구,23.22
56,2020-05-01,7,패스트푸드,동작구,25.32
57,2020-05-01,8,배달전문업체,영등포구,16.41
58,2020-05-01,8,치킨,영등포구,19.22
59,2020-05-01,8,패스트푸드,동작구,23.28
60,2020-05-01,8,한식,영등포구,20.74
61,2020-05-01,9,배달전문업체,영등포구,15.89
62,2020-05-01,9,심부름,강남구,20.18
63,2020-05-01,9,치킨,영등포구,26.45
64,2020-05-01,9,패스트푸드,동작구,16.98
65,2020-05-01,9,한식,영등포구,12.79
66,2020-05-01,10,도시락,도봉구,32.67
67,2020-05-01,10,돈까스/일식,영등포구,20.91
68,2020-05-01,10,배달전문업체,영등포구,17.23
69,2020-05-01,10,분식,구로구,21.0
70,2020-05-01,10,분식,금천구,24.55
71,2020-05-01,10,분식,도봉구,17.79
72,2020-05-01,10,분식,은평구,16.8
73,2020-05-01,10,아시안/양식,은평구,16.17
74,2020-05-01,10,중식,도봉구,13.15
75,2020-05-01,10,찜탕,영등포구,16.05
76,2020-05-01,10,치킨,동작구,28.64
77,2020-05-01,10,치킨,영등포구,18.82
78,2020-05-01,10,치킨,은평구,19.62
79,2020-05-01,10,카페/디저트,관악구,17.45
80,2020-05-01,10,카페/디저트,구로구,29.16
81,2020-05-01,10,카페/디저트,노원구,40.38
82,2020-05-01,10,카페/디저트,동작구,7.15
83,2020-05-01,10,패스트푸드,구로구,21.03
84,2020-05-01,10,패스트푸드,금천구,15.85
85,2020-05-01,10,패스트푸드,도봉구,21.07
86,2020-05-01,10,패스트푸드,동작구,12.68
